NUMBER OF TIMES THE ALGORITHM SEPANN REPEATS ITS LOOP:
n = 100,000 points
Repeat times    n         c
      1       165801   1623.47
      1       165698   1623.47
      1       165595   1623.47
      1       165492   1623.47
      1       165390   1623.47
      1       165288   1623.47
      1       165186   1623.47
      1       165084   1623.47
      1       164982   1623.47
      1       164880   1623.47
      1       164778   1623.47
      1       164676   1623.47
      1       164574   1623.47
      1       164472   1623.47
      1       164370   1623.47
      1       164268   1623.47
      1       164166   1623.47
      1       164064   1623.47
      1       163962   1623.47
      1       163861   1623.47
      1       163760   1623.47
      1       163659   1623.47
      1       163558   1623.47
      1       163457   1623.47
      1       163356   1623.47
      1       163255   1623.47
      1       163154   1623.47
      1       163053   1623.47
      1       162952   1623.47
      1       162851   1623.47
      1       162750   1623.47
      1       162649   1623.47
      1       162548   1623.47
      1       162447   1623.47
      1       162346   1623.47
      1       162246   1623.47
      1       162146   1623.47
      1       162046   1623.47
      1       161946   1623.47
      1       161846   1623.47
      1       161746   1623.47
      1       161646   1623.47
      1       161546   1623.47
      1       161446   1623.47
      1       161346   1623.47
      1       161246   1623.47
      1       161146   1623.47
      1       161046   1623.47
      1       160946   1623.47
      1       160846   1623.47
      1       160746   1623.47
      1       160646   1623.47
      1       160547   1623.47
      1       160448   1623.47
      1       160349   1623.47
      1       160250   1623.47
      1       160151   1623.47
      1       160052   1623.47
      1       159953   1623.47
      1       159854   1623.47
      1       159755   1623.47
      1       159656   1623.47
      1       159557   1623.47
      1       159458   1623.47
      1       159359   1623.47
      1       159260   1623.47
      1       159161   1623.47
      1       159062   1623.47
      1       158964   1623.47
      1       158866   1623.47
      1       158768   1623.47
      1       158670   1623.47
      1       158572   1623.47
      1       158474   1623.47
      1       158376   1623.47
      1       158278   1623.47
      1       158180   1623.47
      1       158082   1623.47
      1       157984   1623.47
      1       157886   1623.47
      1       157788   1623.47
      1       157690   1623.47
      1       157592   1623.47
      1       157494   1623.47
      1       157396   1623.47
      1       157299   1623.47
      1       157202   1623.47
      1       157105   1623.47
      1       157008   1623.47
      1       156911   1623.47
      1       156814   1623.47
      1       156717   1623.47
      1       156620   1623.47
      1       156523   1623.47
      1       156426   1623.47
      1       156329   1623.47
      1       156232   1623.47
      1       156135   1623.47
      1       156038   1623.47
      1       155941   1623.47
      1       155844   1623.47
      1       155748   1623.47
      1       155652   1623.47
      1       155556   1623.47
      1       155460   1623.47
      1       155364   1623.47
      1       155268   1623.47
      1       155172   1623.47
      1       155076   1623.47
      1       154980   1623.47
      1       154884   1623.47
      1       154788   1623.47
      1       154692   1623.47
      1       154596   1623.47
      1       154500   1623.47
      1       154404   1623.47
      1       154308   1623.47
      1       154212   1623.47
      1       154117   1623.47
      1       154022   1623.47
      1       153927   1623.47
      1       153832   1623.47
      1       153737   1623.47
      1       153642   1623.47
      1       153547   1623.47
      1       153452   1623.47
      1       153357   1623.47
      1       153262   1623.47
      1       153167   1623.47
      1       153072   1623.47
      1       152977   1623.47
      1       152882   1623.47
      1       152787   1623.47
      1       152692   1623.47
      1       152597   1623.47
      1       152503   1623.47
      1       152409   1623.47
      1       152315   1623.47
      1       152221   1623.47
      1       152127   1623.47
      1       152033   1623.47
      1       151939   1623.47
      1       151845   1623.47
      1       151751   1623.47
      1       151657   1623.47
      1       151563   1623.47
      1       151469   1623.47
      1       151375   1623.47
      1       151281   1623.47
      1       151187   1623.47
      1       151093   1623.47
      1       150999   1623.47
      1       150905   1623.47
      1       150812   1623.47
      1       150719   1623.47
      1       150626   1623.47
      1       150533   1623.47
      1       150440   1623.47
      1       150347   1623.47
      1       150254   1623.47
      1       150161   1623.47
      1       150068   1623.47
      1       149975   1623.47
      1       149882   1623.47
      1       149789   1623.47
      1       149696   1623.47
      1       149603   1623.47
      1       149510   1623.47
      1       149417   1623.47
      1       149324   1623.47
      1       149232   1623.47
      1       149140   1623.47
      1       149048   1623.47
      1       148956   1623.47
      1       148864   1623.47
      1       148772   1623.47
      1       148680   1623.47
      1       148588   1623.47
      1       148496   1623.47
      1       148404   1623.47
      1       148312   1623.47
      1       148220   1623.47
      1       148128   1623.47
      1       148036   1623.47
      1       147944   1623.47
      1       147852   1623.47
      1       147760   1623.47
      1       147668   1623.47
      1       147577   1623.47
      1       147486   1623.47
      1       147395   1623.47
      1       147304   1623.47
      1       147213   1623.47
      1       147122   1623.47
      1       147031   1623.47
      1       146940   1623.47
      1       146849   1623.47
      1       146758   1623.47
      1       146667   1623.47
      1       146576   1623.47
      1       146485   1623.47
      1       146394   1623.47
      1       146303   1623.47
      1       146212   1623.47
      1       146121   1623.47
      1       146030   1623.47
      1       145940   1623.47
      1       145850   1623.47
      1       145760   1623.47
      1       145670   1623.47
      1       145580   1623.47
      1       145490   1623.47
      1       145400   1623.47
      1       145310   1623.47
      1       145220   1623.47
      1       145130   1623.47
      1       145040   1623.47
      1       144950   1623.47
      1       144860   1623.47
      1       144770   1623.47
      1       144680   1623.47
      1       144590   1623.47
      1       144500   1623.47
      1       144410   1623.47
      1       144321   1623.47
      1       144232   1623.47
      1       144143   1623.47
      1       144054   1623.47
      1       143965   1623.47
      1       143876   1623.47
      1       143787   1623.47
      1       143698   1623.47
      1       143609   1623.47
      1       143520   1623.47
      1       143431   1623.47
      1       143342   1623.47
      1       143253   1623.47
      1       143164   1623.47
      1       143075   1623.47
      1       142986   1623.47
      1       142897   1623.47
      1       142808   1623.47
      1       142720   1623.47
      1       142632   1623.47
      1       142544   1623.47
      1       142456   1623.47
      1       142368   1623.47
      1       142280   1623.47
      1       142192   1623.47
      1       142104   1623.47
      1       142016   1623.47
      1       141928   1623.47
      1       141840   1623.47
      1       141752   1623.47
      1       141664   1623.47
      1       141576   1623.47
